Title,URL,Price,Location,Bedrooms,Bathrooms,Floor Area,Price per sqft
For Sale - KI Residences At Brookvale,https://www.propertyguru.com.sg/listing/for-sale-ki-residences-at-brookvale-25566241,"S$ 1,700,000",12 Brookvale Drive,2,2,753 sqft,"S$ 2,257.64 psf"
For Sale - 102A Bidadari Park Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-102a-bidadari-park-drive-25634360,"S$ 1,150,000",102A Bidadari Park Drive,3,2,"1,001 sqft","S$ 1,148.85 psf"
For Sale - Verdale,https://www.propertyguru.com.sg/listing/for-sale-verdale-25266367,"S$ 1,215,000",16 De Souza Avenue,2,1,614 sqft,"S$ 1,978.83 psf"
For Sale - Wilkie 80,https://www.propertyguru.com.sg/listing/for-sale-wilkie-80-25147406,"S$ 999,000",80 Wilkie Road,1,1,560 sqft,"S$ 1,783.93 psf"
For Sale - Neptune Court,https://www.propertyguru.com.sg/listing/for-sale-neptune-court-25634233,"S$ 1,850,000",2 Marine Vista,3,2,"1,636 sqft","S$ 1,130.81 psf"
"For Sale - Pasir Ris, Loyang, Cross Island",https://www.propertyguru.com.sg/listing/for-sale-pasir-ris-loyang-cross-island-25639041,"S$ 2,780,000","Loyang Villa, Loyang Rise, Loyang View, Pasir Ris",5,4,"2,600 sqft (floor),","2,153 sqft (land)"
For Sale - 412 Yishun Ring Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-412-yishun-ring-road-25633430,"S$ 590,000",412 Yishun Ring Road,3,2,"1,119 sqft",S$ 527.26 psf
For Sale - Lentor Central Residences,https://www.propertyguru.com.sg/listing/for-sale-lentor-central-residences-25631725,"S$ 3,074,000",20 Lentor Central,4,4,"1,399 sqft","S$ 2,197.28 psf"
For Sale - 165 Stirling Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-165-stirling-road-25546597,"S$ 380,000",165 Stirling Road,2,2,646 sqft,S$ 588.24 psf
For Sale - Kingsford Waterbay,https://www.propertyguru.com.sg/listing/for-sale-kingsford-waterbay-25414511,"S$ 1,100,000",78 Upper Serangoon View,2,2,678 sqft,"S$ 1,622.42 psf"
For Sale - The Peak @ Balmeg,https://www.propertyguru.com.sg/listing/for-sale-the-peak-balmeg-25590253,"S$ 2,098,000",7 Balmeg Hill,2,2,990 sqft,"S$ 2,119.19 psf"
For Sale - Mayfair Modern,https://www.propertyguru.com.sg/listing/for-sale-mayfair-modern-25305092,"S$ 1,688,888",6 Rifle Range Road,2,2,797 sqft,"S$ 2,119.06 psf"
For Sale - Seahill,https://www.propertyguru.com.sg/listing/for-sale-seahill-25501375,"S$ 1,000,000",West Coast Crescent,1,1,635 sqft,"S$ 1,574.80 psf"
For Sale - Midtown Modern,https://www.propertyguru.com.sg/listing/for-sale-midtown-modern-25590251,"S$ 2,180,000",18 Tan Quee Lan Street,2,1,635 sqft,"S$ 3,433.07 psf"
For Sale - Waterfront @ Faber,https://www.propertyguru.com.sg/listing/for-sale-waterfront-faber-25247739,"S$ 1,198,000",20 Faber Walk,2,1,700 sqft,"S$ 1,711.43 psf"
For Sale - The Peak @ Balmeg,https://www.propertyguru.com.sg/listing/for-sale-the-peak-balmeg-25590397,"S$ 3,880,000",6 Balmeg Hill,3,4,"1,948 sqft","S$ 1,991.79 psf"
For Sale - 512B Yishun Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-512b-yishun-street-51-25630873,"S$ 628,888",512B Yishun Street 51,3,2,"1,001 sqft",S$ 628.26 psf
For Sale - Sembawang Cottage,https://www.propertyguru.com.sg/listing/for-sale-sembawang-cottage-24966732,"S$ 2,248,888",369 Sembawang Road,5,3,"1,927 sqft","S$ 1,167.04 psf"
For Sale - NV Residences,https://www.propertyguru.com.sg/listing/for-sale-nv-residences-25322121,"S$ 1,099,999",87 Pasir Ris Grove,2,2,797 sqft,"S$ 1,380.17 psf"
For Sale - Rangoon Court,https://www.propertyguru.com.sg/listing/for-sale-rangoon-court-24974545,"S$ 2,499,999",103 Rangoon Road,3,2,"1,593 sqft","S$ 1,569.37 psf"
For Sale - 747 Woodlands Circle,https://www.propertyguru.com.sg/listing/hdb-for-sale-747-woodlands-circle-25498805,"S$ 735,000",747 Woodlands Circle,4,2,"1,313 sqft",S$ 559.79 psf
For Sale - St. Regis Residences Singapore,https://www.propertyguru.com.sg/listing/for-sale-st-regis-residences-singapore-25189464,"S$ 4,300,000",31 Tanglin Road,3,4,"1,507 sqft","S$ 2,853.35 psf"
For Sale - The Palette,https://www.propertyguru.com.sg/listing/for-sale-the-palette-25639030,"S$ 1,050,000",111 Pasir Ris Grove,1,1,700 sqft,"S$ 1,500.00 psf"
"For Sale - 3sty Corner Terrace, Good Layout with Nice Frontage, Open Views",https://www.propertyguru.com.sg/listing/for-sale-3sty-corner-terrace-good-layout-with-nice-frontage-open-views-25499530,"S$ 4,800,000","Bartley, Macpherson Garden Estate, Happy Ave",6,4,"3,500 sqft (floor),","2,292 sqft (land)"
For Sale - 513B Yishun Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-513b-yishun-street-51-25581908,"S$ 619,999",513B Yishun Street 51,3,2,"1,001 sqft",S$ 619.38 psf
For Sale - One Bernam,https://www.propertyguru.com.sg/listing/for-sale-one-bernam-25065952,"S$ 1,280,000",1 Bernam Street,1,1,441 sqft,"S$ 2,902.49 psf"
For Sale - PASIR RIS BEACH PARK,https://www.propertyguru.com.sg/listing/for-sale-pasir-ris-beach-park-25396058,"S$ 3,139,000",PASIR RIS AVENUE,6,5,"2,800 sqft (floor),","4,000 sqft (land)"
For Sale - The Watergardens at Canberra,https://www.propertyguru.com.sg/listing/for-sale-the-watergardens-at-canberra-25528830,"S$ 1,800,000",37 Canberra Drive,4,2,"1,012 sqft","S$ 1,778.66 psf"
For Sale - Fyve Derbyshire,https://www.propertyguru.com.sg/listing/for-sale-fyve-derbyshire-25621537,"S$ 1,630,000",5 Derbyshire Road,2,2,657 sqft,"S$ 2,480.97 psf"
For Sale - K.A.T.O.N.G F.R.E.E.H.O.L.D!! Quaint Shophouse Style Terrace | Fully Customisable to your Needs!,https://www.propertyguru.com.sg/listing/for-sale-k-a-t-o-n-g-f-r-e-e-h-o-l-d-quaint-shophouse-style-terrace-fully-customisable-to-your-needs-25606048,"S$ 3,399,999","Joo Chiat, Katong, Ceylon, Marshall Road, Carpmael",2,1,"1,600 sqft (floor),",820 sqft (land)
For Sale - ⭐️D26 Landed ⭐️Star Buy 3.5 Storey Terrace @ Springside/Springleaf/ Thong Soon/Upper Thomson,https://www.propertyguru.com.sg/listing/for-sale-d26-landed-star-buy-3-5-storey-terrace-springside-springleaf-thong-soon-upper-thomson-25621848,"S$ 4,580,000","Springside View, Springleaf, Thong Soon",6,6,"3,907 sqft (floor),","1,744 sqft (land)"
For Sale - 747 Pasir Ris Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-747-pasir-ris-street-71-25632968,"S$ 657,999",747 Pasir Ris Street 71,3,2,"1,130 sqft",S$ 582.30 psf
For Sale - FH! New Built! TOP! Semi D near Sixth Ave MRT,https://www.propertyguru.com.sg/listing/for-sale-fh-new-built-top-semi-d-near-sixth-ave-mrt-25243860,"S$ 12,000,000",Bukit Timah \ Sixth Avenue,5,6,"6,100 sqft (floor),","3,131 sqft (land)"
"For Sale - Renovated Freehold Terrace with good land size&great space, quiet place yet easy access to amenities",https://www.propertyguru.com.sg/listing/for-sale-renovated-freehold-terrace-with-good-land-size-great-space-quiet-place-yet-easy-access-to-amenities-25082913,"S$ 4,600,000",3 min walk to Springleaf MRT-call 8130 3636 view!,5,3,"2,400 sqft (floor),","2,400 sqft (land)"
"For Sale - Brand new & freehold terrace, 4 levels with Lift, 5 bedrooms ensuite, Furnished wet and dry kitchen",https://www.propertyguru.com.sg/listing/for-sale-brand-new-freehold-terrace-4-levels-with-lift-5-bedrooms-ensuite-furnished-wet-and-dry-kitchen-25228700,"S$ 5,380,000",1km to CHIJ St. Nicholas Girls' Sch-call 8130 3636,6,6,"4,000 sqft (floor),","1,500 sqft (land)"
For Sale - Kheam Hock Dunearn Bukit Timah,https://www.propertyguru.com.sg/listing/for-sale-kheam-hock-dunearn-bukit-timah-25299394,"S$ 12,500,000",Kheam Hock Dunearn Bukit Timah,7,5,"7,000 sqft (floor),","5,201 sqft (land)"
For Sale - Saint Nicholas View,https://www.propertyguru.com.sg/listing/for-sale-saint-nicholas-view-25639002,"S$ 4,850,000",St. Nicholas View,5,4,"2,700 sqft (floor),","5,222 sqft (land)"
For Sale - Jalan Elok Freehold Orchard Landed,https://www.propertyguru.com.sg/listing/for-sale-jalan-elok-freehold-orchard-landed-25172735,"S$ 5,580,000",Jalan Elok,4,3,"2,200 sqft (floor),","1,650 sqft (land)"
"For Sale - Recently Rebuilt, New Majestic Semi-D with Lift at the Heart of Serangoon Gardens",https://www.propertyguru.com.sg/listing/for-sale-recently-rebuilt-new-majestic-semi-d-with-lift-at-the-heart-of-serangoon-gardens-25639011,"S$ 10,900,000",Serangoon Garden / Chartwell Drive / Farleigh,7,9,"9,678 sqft (floor),","4,203 sqft (land)"
For Sale - Charming 2.5 Storey Semi-D in the Heart of Serangoon Gardens,https://www.propertyguru.com.sg/listing/for-sale-charming-2-5-storey-semi-d-in-the-heart-of-serangoon-gardens-25595938,"S$ 7,550,000",Chartwell / Medway / Farleigh,9,8,"5,115 sqft (floor),","4,189 sqft (land)"
For Sale - Midwood,https://www.propertyguru.com.sg/listing/for-sale-midwood-25626076,"S$ 1,350,000",8 Hillview Rise,2,2,700 sqft,"S$ 1,928.57 psf"
For Sale - 102A Bidadari Park Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-102a-bidadari-park-drive-25629431,"S$ 1,180,000",102A Bidadari Park Drive,3,2,"1,001 sqft","S$ 1,178.82 psf"
For Sale - The Woodleigh Residences,https://www.propertyguru.com.sg/listing/for-sale-the-woodleigh-residences-25635178,"S$ 1,650,000",Bidadari Park Drive,2,2,700 sqft,"S$ 2,357.14 psf"
For Sale - 675A Fern Grove @ Yishun,https://www.propertyguru.com.sg/listing/hdb-for-sale-675a-fern-grove-yishun-25624570,"S$ 660,000",675A Yishun Avenue 4,3,2,"1,001 sqft",S$ 659.34 psf
For Sale - The Reef at King's Dock,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-24953029,"S$ 1,150,000",10 Harbourfront Avenue,1,1,484 sqft,"S$ 2,376.03 psf"
For Sale - Wilshire Residences,https://www.propertyguru.com.sg/listing/for-sale-wilshire-residences-24848010,"S$ 2,399,900",30 Farrer Road,3,2,797 sqft,"S$ 3,011.17 psf"
For Sale - 653 Yishun Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-653-yishun-avenue-4-25547926,"S$ 600,000",653 Yishun Avenue 4,3,2,"1,119 sqft",S$ 536.19 psf
For Sale - Hillhaven,https://www.propertyguru.com.sg/listing/for-sale-hillhaven-25005647,"S$ 2,688,888",5 Hillview Rise,4,4,"1,378 sqft","S$ 1,951.30 psf"
For Sale - 423 Fajar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-423-fajar-road-25347295,"S$ 698,000",423 Fajar Road,3,2,"1,313 sqft",S$ 531.61 psf
For Sale - 113 Jurong East Street 13,https://www.propertyguru.com.sg/listing/hdb-for-sale-113-jurong-east-street-13-25638993,"S$ 560,000",113 Jurong East Street 13,3,2,990 sqft,S$ 565.66 psf
For Sale - Luxus Hills,https://www.propertyguru.com.sg/listing/for-sale-luxus-hills-25629284,"S$ 5,288,888",Seletar Green Walk,5,6,"3,500 sqft (floor),","2,158 sqft (land)"
For Sale - Fulcrum,https://www.propertyguru.com.sg/listing/for-sale-fulcrum-25631009,"S$ 1,200,000",33 Fort Road,1,1,474 sqft,"S$ 2,531.65 psf"
For Sale - 52 Medway Drive,https://www.propertyguru.com.sg/listing/for-sale-52-medway-drive-25531189,"S$ 7,999,999",Medway Drive,3,2,"2,700 sqft (floor),","5,196 sqft (land)"
For Sale - Casa Sarina,https://www.propertyguru.com.sg/listing/for-sale-casa-sarina-24861888,"S$ 1,680,000",101 Lorong Sarina,3,2,"1,184 sqft","S$ 1,418.92 psf"
For Sale - 246 Bangkit Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-246-bangkit-road-25537071,"S$ 668,000",246 Bangkit Road,4,2,"1,313 sqft",S$ 508.76 psf
For Sale - Freehold Detached House 2 Storey District 19,https://www.propertyguru.com.sg/listing/for-sale-freehold-detached-house-2-storey-district-19-25291692,"S$ 11,180,000",Jalan Lokam | Upper Paya Lebar Road,5,6,"5,336 sqft (floor),","7,491 sqft (land)"
For Sale - JadeScape,https://www.propertyguru.com.sg/listing/for-sale-jadescape-25465189,"S$ 1,100,000",314 Shunfu Road,1,1,527 sqft,"S$ 2,087.29 psf"
